"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"108","2021-11-16","13:46:05","1h:07m","WØYVA","-","FT8","20m","14.0740","United States","K","FM19IA62","12966"
"228","2021-11-16","12:01:52","2h:51m","AA1ON","-","FT8","20m","14.0740","United States","K","FN42FF72","12403"
"52","2021-11-16","13:56:05","57min","ZL1BQD","-","FT8","20m","14.0740","New Zealand","ZL","RF73KB59","12193"
"68","2021-11-16","13:56:05","57min","FK8HM","-","FT8","20m","14.0740","New Caledonia","FK","RG37FS","11033"
"12","2021-11-16","14:42:30","10min","VK2LAW","-","FT8","20m","14.0740","Australia","VK","QF56NB","10035"
"143","2021-11-16","12:44:14","2h:09m","VK4NBX","-","FT8","20m","14.0740","Australia","VK","QG63LM","9889"
"213","2021-11-16","12:01:52","2h:51m","VK3PUB","-","FT8","20m","14.0740","Australia","VK","QF22LD","9707"
"22","2021-11-16","14:01:05","52min","CT1BSD","-","FT8","20m","14.0740","Portugal","CT","IM58KQ39","8157"
"212","2021-11-16","12:01:52","2h:51m","EA1TF","-","FT8","20m","14.0740","Spain","EA","IN53LM","8058"
"141","2021-11-16","12:44:14","2h:09m","MI7DGO","-","FT8","20m","14.0740","Northern Ireland","GI","IO64LM","7774"
"73","2021-11-16","13:56:05","57min","EA7ALL","-","FT8","20m","14.0740","Spain","EA","IM87CS56","7713"
"104","2021-11-16","13:46:05","1h:07m","G8BCG","-","FT8","20m","14.0740","England","G","IO70RK","7634"
"56","2021-11-16","13:56:05","57min","GU6RWD","-","FT8","20m","14.0740","Guernsey","GU","IN89RK","7496"
"62","2021-11-16","13:56:05","57min","OQ35EUDXF","-","FT8","20m","14.0740","Belgium","ON","JO21","7416"
"30","2021-11-16","14:01:05","52min","G4KUD","-","FT8","20m","14.0740","England","G","IO93GM","7412"
"63","2021-11-16","13:56:05","57min","M3FON","-","FT8","20m","14.0740","England","G","IO93HA48","7407"
"219","2021-11-16","12:01:52","2h:51m","VK6DW","-","FT8","20m","14.0740","Australia","VK","OF88AA","7193"
"11","2021-11-16","14:42:30","10min","VK6AS","-","FT8","20m","14.0740","Australia","VK","OF77WW05","7188"
"165","2021-11-16","12:44:14","2h:09m","ON4APU","-","FT8","20m","14.0740","Belgium","ON","JO11LM","7107"
"78","2021-11-16","13:56:05","57min","F1LXJ","-","FT8","20m","14.0740","France","F","JO10LM24","7102"
"36","2021-11-16","14:01:05","52min","ON3BM","-","FT8","20m","14.0740","Belgium","ON","JO10VT","7045"
"125","2021-11-16","12:49:14","2h:04m","PE1CPJ","-","FT8","20m","14.0740","Netherlands","PA","JO21BU50","7029"
"223","2021-11-16","12:01:52","2h:51m","ON2BCB","-","FT8","20m","14.0740","Belgium","ON","JO21CD","7018"
"61","2021-11-16","13:56:05","57min","LA5HPA","-","FT8","20m","14.0740","Norway","LA","JO28VU57LU","7011"
"2","2021-11-16","14:52:30","0min","OO5Z","-","FT8","20m","14.0740","Belgium","ON","JO21FE05","7001"
"109","2021-11-16","13:46:05","1h:07m","PD3ED","-","FT8","20m","14.0740","Netherlands","PA","JO21GW","7001"
"20","2021-11-16","14:01:05","52min","PD1AC","-","FT8","20m","14.0740","Netherlands","PA","JO22IA27","6991"
"227","2021-11-16","12:01:52","2h:51m","PD7RF","-","FT8","20m","14.0740","Netherlands","PA","JO22MP","6974"
"166","2021-11-16","12:44:14","2h:09m","ON8AK","-","FT8","20m","14.0740","Belgium","ON","JO21MA10","6959"
"107","2021-11-16","13:46:05","1h:07m","PA5COR","-","FT8","20m","14.0740","Netherlands","PA","JO23TB90","6939"
"105","2021-11-16","13:46:05","1h:07m","PA3DNA","-","FT8","20m","14.0740","Netherlands","PA","JO32BL","6899"
"99","2021-11-16","13:51:05","1h:02m","PD7JVW","-","FT8","20m","14.0740","Netherlands","PA","JO31ET","6875"
"154","2021-11-16","12:44:14","2h:09m","PA3EPP","-","FT8","20m","14.0740","Netherlands","PA","JO32JT","6858"
"135","2021-11-16","12:49:14","2h:04m","PA3CXB","-","FT8","20m","14.0740","Netherlands","PA","JO32KE56","6845"
"98","2021-11-16","13:51:05","1h:02m","DL1AE","-","FT8","20m","14.0740","Germany","DL","JO31KH","6835"
"221","2021-11-16","12:01:52","2h:51m","HB9BL","-","FT8","20m","14.0740","Switzerland","HB","JN37LM","6793"
"40","2021-11-16","14:01:05","52min","DL2NO","-","FT8","20m","14.0740","Germany","DL","JO43GN","6754"
"42","2021-11-16","14:01:05","52min","DG2YFZ","-","FT8","20m","14.0740","Germany","DL","JO41FW","6734"
"82","2021-11-16","13:56:05","57min","OZØJD","-","FT8","20m","14.0740","Denmark","OZ","JO47XA","6732"
"32","2021-11-16","14:01:05","52min","DG5FAU/P","-","FT8","20m","14.0740","Germany","DL","JO42NS","6702"
"47","2021-11-16","13:56:05","57min","DJØABM","-","FT8","20m","14.0740","Germany","DL","JN48EV","6701"
"103","2021-11-16","13:46:05","1h:07m","HB9COF","-","FT8","20m","14.0740","Switzerland","HB","JN47CJ","6698"
"37","2021-11-16","14:01:05","52min","DG7FB","-","FT8","20m","14.0740","Germany","DL","JO40JC","6685"
"199","2021-11-16","12:34:13","2h:19m","JR7RHO","-","FT8","20m","14.0740","Japan","JA","PM98WS","6675"
"190","2021-11-16","12:34:13","2h:19m","SA6JAB","-","FT8","20m","14.0740","Sweden","SM","JO66LT","6550"
"146","2021-11-16","12:44:14","2h:09m","DL6CNG","-","FT8","20m","14.0740","Germany","DL","JO51TU33","6518"
"76","2021-11-16","13:56:05","57min","DL3RL","-","FT8","20m","14.0740","Germany","DL","JN59RE59","6482"
"106","2021-11-16","13:46:05","1h:07m","IK4LZH","-","FT8","20m","14.0740","Italy","I","JN54QM06","6425"
"131","2021-11-16","12:49:14","2h:04m","SN1BUW","-","FT8","20m","14.0740","Poland","SP","JO93","6419"
"33","2021-11-16","14:01:05","52min","DK3DUA","-","FT8","20m","14.0740","Germany","DL","JO61TC51","6366"
"100","2021-11-16","13:46:05","1h:07m","HF1MM","-","FT8","20m","14.0740","Poland","SP","JO73GK","6361"
"39","2021-11-16","14:01:05","52min","IØRSC","-","FT8","20m","14.0740","Italy","I","JN63EC","6331"
"123","2021-11-16","12:49:14","2h:04m","OH2BCK","-","FT8","20m","14.0740","Finland","OH","KO19","6318"
"34","2021-11-16","14:01:05","52min","DL1DQR","-","FT8","20m","14.0740","Germany","DL","JO71FD","6310"
"80","2021-11-16","13:56:05","57min","OK4FD","-","FT8","20m","14.0740","Czech Rep.","OK","JN79EW63KT","6288"
"149","2021-11-16","12:44:14","2h:09m","R1YY","-","FT8","20m","14.0740","Russia-EU","UA","KP69OE96","6288"
"124","2021-11-16","12:49:14","2h:04m","9A2RD","-","FT8","20m","14.0740","Croatia","9A","JN65UF","6252"
"89","2021-11-16","13:56:05","57min","S52MM","-","FT8","20m","14.0740","Slovenia","S5","JN76LM","6177"
"45","2021-11-16","13:56:05","57min","S51UN","-","FT8","20m","14.0740","Slovenia","S5","JN75KS","6170"
"27","2021-11-16","14:01:05","52min","SP6TPP","-","FT8","20m","14.0740","Poland","SP","JO80ID","6130"
"196","2021-11-16","12:34:13","2h:19m","SP2EWQ","-","FT8","20m","14.0740","Poland","SP","JO93FN42","6115"
"112","2021-11-16","13:46:05","1h:07m","SP2AHM","-","FT8","20m","14.0740","Poland","SP","JO94JB","6111"
"84","2021-11-16","13:56:05","57min","S51DD","-","FT8","20m","14.0740","Slovenia","S5","JN76WK","6106"
"88","2021-11-16","13:56:05","57min","4U1A","-","FT8","20m","14.0740","Vienna Intl Ctr","*4U1V","JN88EE","6106"
"48","2021-11-16","13:56:05","57min","SP6RCK","-","FT8","20m","14.0740","Poland","SP","JO80RU58","6098"
"156","2021-11-16","12:44:14","2h:09m","OH2XO","-","FT8","20m","14.0740","Finland","OH","KP20JM","6060"
"111","2021-11-16","13:46:05","1h:07m","OM3TZO","-","FT8","20m","14.0740","Slovakia","OM","JN88US36GP","6024"
"222","2021-11-16","12:01:52","2h:51m","OH2CEM","-","FT8","20m","14.0740","Finland","OH","KP20RG","6014"
"81","2021-11-16","13:56:05","57min","9A3PV","-","FT8","20m","14.0740","Croatia","9A","JN85LM","6006"
"177","2021-11-16","12:44:14","2h:09m","SP7SUM","-","FT8","20m","14.0740","Poland","SP","JO91RS","5992"
"158","2021-11-16","12:44:14","2h:09m","SP9UPH","-","FT8","20m","14.0740","Poland","SP","JO90JH25","5991"
"93","2021-11-16","13:51:05","1h:02m","IQ8BV","-","FT8","20m","14.0740","Italy","I","JM88AJ","5978"
"28","2021-11-16","14:01:05","52min","SP9MGJ","-","FT8","20m","14.0740","Poland","SP","JO90OH","5963"
"75","2021-11-16","13:56:05","57min","OK4YL","-","FT8","20m","14.0740","Czech Rep.","OK","JN99LM","5957"
"77","2021-11-16","13:56:05","57min","OK2WMC","-","FT8","20m","14.0740","Czech Rep.","OK","JN99LM","5957"
"226","2021-11-16","12:01:52","2h:51m","ES3RM","-","FT8","20m","14.0740","Estonia","ES","KO28LM","5948"
"85","2021-11-16","13:56:05","57min","SP9KR","-","FT8","20m","14.0740","Poland","SP","JO90SC","5933"
"69","2021-11-16","13:56:05","57min","OM7AMA","-","FT8","20m","14.0740","Slovakia","OM","JN98OS","5918"
"60","2021-11-16","13:56:05","57min","IZ8JBO","-","FT8","20m","14.0740","Italy","I","JM89LM","5910"
"91","2021-11-16","13:56:05","57min","HA7TM","-","FT8","20m","14.0740","Hungary","HA","JN97KK60IA","5906"
"58","2021-11-16","13:56:05","57min","ES6RQ","-","FT8","20m","14.0740","Estonia","ES","KO28WA","5875"
"31","2021-11-16","14:01:05","52min","E75CV","-","FT8","20m","14.0740","Bosnia","E7","JN93DT","5868"
"38","2021-11-16","14:01:05","52min","LY3I","-","FT8","20m","14.0740","Lithuania","LY","KO25ER","5845"
"134","2021-11-16","12:49:14","2h:04m","SQ9CAH","-","FT8","20m","14.0740","Poland","SP","KN09OX","5815"
"97","2021-11-16","13:51:05","1h:02m","HA7JQ","-","FT8","20m","14.0740","Hungary","HA","KN07EE","5789"
"70","2021-11-16","13:56:05","57min","JR6EZE","-","FT8","20m","14.0740","Japan","JA","PM53BE71","5788"
"41","2021-11-16","14:01:05","52min","YT5M","-","FT8","20m","14.0740","Serbia","YU","JN94SD","5776"
"139","2021-11-16","12:49:14","2h:04m","RL1D","-","FT8","20m","14.0740","Russia-EU","UA","KO59MT","5723"
"35","2021-11-16","14:01:05","52min","RA1OHX","-","FT8","20m","14.0740","Russia-EU","UA","KP91LM","5509"
"153","2021-11-16","12:44:14","2h:09m","UA1WCF","-","FT8","20m","14.0740","Russia-EU","UA","KO55IR","5494"
"19","2021-11-16","14:01:05","52min","SV2GJV","-","FT8","20m","14.0740","Greece","SV","KN10CM46","5483"
"71","2021-11-16","13:56:05","57min","DU7EYG","-","FT8","20m","14.0740","Philippines","DU","PK10WH","5442"
"203","2021-11-16","12:11:52","2h:41m","SV3RIA","-","FT8","20m","14.0740","Greece","SV","KM17BB","5430"
"44","2021-11-16","14:01:05","52min","LZ2DF","-","FT8","20m","14.0740","Bulgaria","LZ","KN22IV","5339"
"132","2021-11-16","12:49:14","2h:04m","R3IX","-","FT8","20m","14.0740","Russia-EU","UA","KO76LM","5323"
"65","2021-11-16","13:56:05","57min","YO8RCN","-","FT8","20m","14.0740","Romania","YO","KN36LM","5289"
"176","2021-11-16","12:44:14","2h:09m","RV3LE","-","FT8","20m","14.0740","Russia-EU","UA","KO75MP","5262"
"121","2021-11-16","12:49:14","2h:04m","RZ3LC","-","FT8","20m","14.0740","Russia-EU","UA","KO75MM","5254"
"168","2021-11-16","12:44:14","2h:09m","RA5BQ","-","FT8","20m","14.0740","Russia-EU","UA","KO96","5248"
"46","2021-11-16","13:56:05","57min","LZ1MH","-","FT8","20m","14.0740","Bulgaria","LZ","KN21SW63","5246"
"155","2021-11-16","12:44:14","2h:09m","R2AUQ","-","FT8","20m","14.0740","Russia-EU","UA","KO75WU","5233"
"130","2021-11-16","12:49:14","2h:04m","R2DZJ","-","FT8","20m","14.0740","Russia-EU","UA","KO86LM","5226"
"145","2021-11-16","12:44:14","2h:09m","YC7RV","-","FT8","20m","14.0740","Indonesia","YB","OI86CS","5224"
"86","2021-11-16","13:56:05","57min","YO3GNF","-","FT8","20m","14.0740","Romania","YO","KN34LM","5216"
"129","2021-11-16","12:49:14","2h:04m","RA1OD","-","FT8","20m","14.0740","Russia-EU","UA","LP31HF","5216"
"23","2021-11-16","14:01:05","52min","YB3EDD","-","FT8","20m","14.0740","Indonesia","YB","OI62OF46","5209"
"180","2021-11-16","12:44:14","2h:09m","RA3PGY","-","FT8","20m","14.0740","Russia-EU","UA","KO83","5207"
"210","2021-11-16","12:06:52","2h:46m","ER1VS","-","FT8","20m","14.0740","Moldova","ER","KN46KX","5170"
"208","2021-11-16","12:06:52","2h:46m","UA1ODY","-","FT8","20m","14.0740","Russia-EU","UA","LP41GI","5168"
"218","2021-11-16","12:01:52","2h:51m","R2ACL","-","FT8","20m","14.0740","Russia-EU","UA","KO85RU","5155"
"101","2021-11-16","13:46:05","1h:07m","RA3FY","-","FT8","20m","14.0740","Russia-EU","UA","KO85WQ62","5123"
"144","2021-11-16","12:44:14","2h:09m","SV8DCW","-","FT8","20m","14.0740","Greece","SV","KM39GC","5089"
"151","2021-11-16","12:44:14","2h:09m","YC7HIJ","-","FT8","20m","14.0740","Indonesia","YB","OI77QT","5087"
"147","2021-11-16","12:44:14","2h:09m","RD5D","-","FT8","20m","14.0740","Russia-EU","UA","KO95LT","5080"
"172","2021-11-16","12:44:14","2h:09m","UA3DPM","-","FT8","20m","14.0740","Russia-EU","UA","KO95FK","5077"
"138","2021-11-16","12:49:14","2h:04m","R3DOM","-","FT8","20m","14.0740","Russia-EU","UA","KO95LM","5059"
"207","2021-11-16","12:06:52","2h:46m","RN3FY","-","FT8","20m","14.0740","Russia-EU","UA","KO95JB","5034"
"126","2021-11-16","12:49:14","2h:04m","4F3BZ","-","FT8","20m","14.0740","Philippines","DU","PK04KU","5006"
"192","2021-11-16","12:34:13","2h:19m","UR3HC","-","FT8","20m","14.0740","Ukraine","UR","KN69QA40","4964"
"4","2021-11-16","14:47:30","5min","YB7OO","-","FT8","20m","14.0740","Indonesia","YB","OI67XS","4952"
"206","2021-11-16","12:06:52","2h:46m","RN3TA","-","FT8","20m","14.0740","Russia-EU","UA","LO16XX","4948"
"217","2021-11-16","12:01:52","2h:51m","BU2FF","-","FT8","20m","14.0740","Taiwan","BV","PL05RD","4939"
"18","2021-11-16","14:42:30","10min","YC2CRN","-","FT8","20m","14.0740","Indonesia","YB","OI52BF","4933"
"9","2021-11-16","14:42:30","10min","YE3DGO","-","FT8","20m","14.0740","Indonesia","YB","OI61","4916"
"57","2021-11-16","13:56:05","57min","HL3ANE","-","FT8","20m","14.0740","South Korea","HL","PM36","4908"
"186","2021-11-16","12:39:13","2h:14m","RW3ZC","-","FT8","20m","14.0740","Russia-EU","UA","KO81LM","4893"
"113","2021-11-16","13:46:05","1h:07m","US5EAA","-","FT8","20m","14.0740","Ukraine","UR","KN78GO","4867"
"96","2021-11-16","13:51:05","1h:02m","FR5DZ","-","FT8","20m","14.0740","Reunion Island","FR","LG78SR21","4863"
"118","2021-11-16","12:49:14","2h:04m","R3GW","-","FT8","20m","14.0740","Russia-EU","UA","KO92LM","4849"
"161","2021-11-16","12:44:14","2h:09m","UR5EUY","-","FT8","20m","14.0740","Ukraine","UR","KN78LM","4836"
"29","2021-11-16","14:01:05","52min","YC1KQV","-","FT8","20m","14.0740","Indonesia","YB","OI42LM","4811"
"120","2021-11-16","12:49:14","2h:04m","US5QVO","-","FT8","20m","14.0740","Ukraine","UR","KN77LM","4781"
"128","2021-11-16","12:49:14","2h:04m","R3QX","-","FT8","20m","14.0740","Russia-EU","UA","KO91NP86KA","4780"
"115","2021-11-16","13:46:05","1h:07m","UR6QX","-","FT8","20m","14.0740","Ukraine","UR","KN77OS25","4779"
"136","2021-11-16","12:49:14","2h:04m","US3EX","-","FT8","20m","14.0740","Ukraine","UR","KN88AM","4767"
"175","2021-11-16","12:44:14","2h:09m","YB3ELQ","-","FT8","20m","14.0740","Indonesia","YB","OI51","4759"
"184","2021-11-16","12:39:13","2h:14m","YB1DUU","-","FT8","20m","14.0740","Indonesia","YB","OI43LM","4744"
"148","2021-11-16","12:44:14","2h:09m","UV5IW","-","FT8","20m","14.0740","Ukraine","UR","KN88LM","4709"
"87","2021-11-16","13:56:05","57min","RK6BCP","-","FT8","20m","14.0740","Russia-EU","UA","KN95","4702"
"94","2021-11-16","13:51:05","1h:02m","UX7QV","-","FT8","20m","14.0740","Ukraine","UR","KN87DL","4692"
"160","2021-11-16","12:44:14","2h:09m","RN3QTS","-","FT8","20m","14.0740","Russia-EU","UA","KO90PH","4682"
"102","2021-11-16","13:46:05","1h:07m","UX7IN","-","FT8","20m","14.0740","Ukraine","UR","KN88OG","4679"
"26","2021-11-16","14:01:05","52min","YC1CKK","-","FT8","20m","14.0740","Indonesia","YB","OI33UB","4665"
"142","2021-11-16","12:44:14","2h:09m","YB1MIG","-","FT8","20m","14.0740","Indonesia","YB","OI32SX","4656"
"191","2021-11-16","12:34:13","2h:19m","YC1EQI","-","FT8","20m","14.0740","Indonesia","YB","OI32SX44","4656"
"162","2021-11-16","12:44:14","2h:09m","USØMS","-","FT8","20m","14.0740","Ukraine","UR","KN99KL","4652"
"182","2021-11-16","12:44:14","2h:09m","UV8IZ","-","FT8","20m","14.0740","Ukraine","UR","KN87LM","4651"
"183","2021-11-16","12:39:13","2h:14m","UR8QMM","-","FT8","20m","14.0740","Ukraine","UR","KN86ER16JJ","4645"
"169","2021-11-16","12:44:14","2h:09m","UT7IP","-","FT8","20m","14.0740","Ukraine","UR","KN87PS","4644"
"202","2021-11-16","12:11:52","2h:41m","UX2IQ","-","FT8","20m","14.0740","Ukraine","UR","KN98CF44TT","4614"
"159","2021-11-16","12:44:14","2h:09m","YB2FRI","-","FT8","20m","14.0740","Indonesia","YB","OI53","4605"
"211","2021-11-16","12:01:52","2h:51m","UW3QU","-","FT8","20m","14.0740","Ukraine","UR","KN86LM","4594"
"110","2021-11-16","13:46:05","1h:07m","YC1INQ","-","FT8","20m","14.0740","Indonesia","YB","OI33MG","4592"
"181","2021-11-16","12:44:14","2h:09m","YC1CQU","-","FT8","20m","14.0740","Indonesia","YB","OI33KC","4589"
"150","2021-11-16","12:44:14","2h:09m","YC1MCD","-","FT8","20m","14.0740","Indonesia","YB","OI33PV","4571"
"17","2021-11-16","14:42:30","10min","YC1THS","-","FT8","20m","14.0740","Indonesia","YB","OI33LM","4568"
"116","2021-11-16","13:46:05","1h:07m","YCØSCL","-","FT8","20m","14.0740","Indonesia","YB","OI33LM","4568"
"6","2021-11-16","14:47:30","5min","YB1HK","-","FT8","20m","14.0740","Indonesia","YB","OI33KM","4561"
"14","2021-11-16","14:42:30","10min","YC1JVY","-","FT8","20m","14.0740","Indonesia","YB","OI33KN","4558"
"220","2021-11-16","12:01:52","2h:51m","R4PQ","-","FT8","20m","14.0740","Russia-EU","UA","LO55II","4546"
"55","2021-11-16","13:56:05","57min","YCØRWL","-","FT8","20m","14.0740","Indonesia","YB","OI33KS","4543"
"224","2021-11-16","12:01:52","2h:51m","UA4LGP","-","FT8","20m","14.0740","Russia-EU","UA","LO44DG66","4542"
"114","2021-11-16","13:46:05","1h:07m","YCØMLC","-","FT8","20m","14.0740","Indonesia","YB","OI33KT04","4541"
"25","2021-11-16","14:01:05","52min","YCØJOY","-","FT8","20m","14.0740","Indonesia","YB","OI33IU","4523"
"83","2021-11-16","13:56:05","57min","R4GM","-","FT8","20m","14.0740","Russia-EU","UA","LO33IB","4508"
"163","2021-11-16","12:44:14","2h:09m","RX4CA","-","FT8","20m","14.0740","Russia-EU","UA","LO21FL","4488"
"133","2021-11-16","12:49:14","2h:04m","RWØAR","-","FT8","20m","14.0740","Russia-AS","UA9","NO66MA67","4471"
"7","2021-11-16","14:47:30","5min","YB1WAA","-","FT8","20m","14.0740","Indonesia","YB","OI33BW","4467"
"195","2021-11-16","12:34:13","2h:19m","R6MO","-","FT8","20m","14.0740","Russia-EU","UA","KN97UH","4464"
"59","2021-11-16","13:56:05","57min","R7LK","-","FT8","20m","14.0740","Russia-EU","UA","LN07BO","4457"
"157","2021-11-16","12:44:14","2h:09m","RG8G","-","FT8","20m","14.0740","Russia-EU","UA","LO87","4454"
"179","2021-11-16","12:44:14","2h:09m","R4PI","-","FT8","20m","14.0740","Russia-EU","UA","LO65","4450"
"197","2021-11-16","12:34:13","2h:19m","R6BH","-","FT8","20m","14.0740","Russia-EU","UA","KN84XW","4439"
"194","2021-11-16","12:34:13","2h:19m","RA4CCK","-","FT8","20m","14.0740","Russia-EU","UA","LO21XN","4421"
"216","2021-11-16","12:01:52","2h:51m","RF9C","-","FT8","20m","14.0740","Russia-EU","UA","MO06HU82","4409"
"1","2021-11-16","14:52:30","0min","YC7BYH","-","FT8","20m","14.0740","Indonesia","YB","OI49SW","4405"
"188","2021-11-16","12:39:13","2h:14m","RA4HG","-","FT8","20m","14.0740","Russia-EU","UA","LO53CE44TT","4370"
"225","2021-11-16","12:01:52","2h:51m","R8CEG","-","FT8","20m","14.0740","Russia-EU","UA","MO06LM","4367"
"193","2021-11-16","12:34:13","2h:19m","UA9JLR","-","FT8","20m","14.0740","Russia-AS","UA9","MO27VD","4353"
"204","2021-11-16","12:11:52","2h:41m","YB4TM","-","FT8","20m","14.0740","Indonesia","YB","OI24OO","4341"
"72","2021-11-16","13:56:05","57min","R6DJR","-","FT8","20m","14.0740","Russia-EU","UA","KN94KG30","4339"
"152","2021-11-16","12:44:14","2h:09m","R4IQ","-","FT8","20m","14.0740","Russia-EU","UA","LO53QI","4339"
"122","2021-11-16","12:49:14","2h:04m","YC4SIZ","-","FT8","20m","14.0740","Indonesia","YB","OI24LM","4325"
"171","2021-11-16","12:44:14","2h:09m","R9SR","-","FT8","20m","14.0740","Russia-EU","UA","LO63EO94","4324"
"64","2021-11-16","13:56:05","57min","YE4INO","-","FT8","20m","14.0740","Indonesia","YB","OI37LM","4305"
"66","2021-11-16","13:56:05","57min","RC6D","-","FT8","20m","14.0740","Russia-EU","UA","LN05GK","4295"
"201","2021-11-16","12:11:52","2h:41m","YC1IDC","-","FT8","20m","14.0740","Indonesia","YB","OI33","4294"
"189","2021-11-16","12:39:13","2h:14m","R6ML","-","FT8","20m","14.0740","Russia-EU","UA","LN17LM","4280"
"53","2021-11-16","13:56:05","57min","UD6ASH","-","FT8","20m","14.0740","Russia-EU","UA","KN93UO","4244"
"185","2021-11-16","12:39:13","2h:14m","R9UHS","-","FT8","20m","14.0740","Russia-AS","UA9","NO35BI","4227"
"8","2021-11-16","14:42:30","10min","4X5MZ","-","FT8","20m","14.0740","Israel","4X","KM71GP","4207"
"54","2021-11-16","13:56:05","57min","4X5IQ","-","FT8","20m","14.0740","Israel","4X","KM72NO","4174"
"167","2021-11-16","12:44:14","2h:09m","BD7JMR","-","FT8","20m","14.0740","China","BY","OL62WN","4173"
"16","2021-11-16","14:42:30","10min","YB4JTB","-","FT8","20m","14.0740","Indonesia","YB","OI26IX","4136"
"178","2021-11-16","12:44:14","2h:09m","UA9OOT","-","FT8","20m","14.0740","Russia-AS","UA9","NO14IX27","4126"
"200","2021-11-16","12:34:13","2h:19m","RV9UAF","-","FT8","20m","14.0740","Russia-AS","UA9","NO43AQ","4098"
"127","2021-11-16","12:49:14","2h:04m","RX9ATX","-","FT8","20m","14.0740","Russia-EU","UA","LO93MJ","4090"
"229","2021-11-16","12:01:52","2h:51m","RA9AGL","-","FT8","20m","14.0740","Russia-EU","UA","LO93LI","4088"
"174","2021-11-16","12:44:14","2h:09m","RA6FC","-","FT8","20m","14.0740","Russia-EU","UA","LN13IW","4060"
"79","2021-11-16","13:56:05","57min","R9SN","-","FT8","20m","14.0740","Russia-EU","UA","LO71MT","4059"
"198","2021-11-16","12:34:13","2h:19m","RW6HP","-","FT8","20m","14.0740","Russia-EU","UA","LN14KA","4054"
"164","2021-11-16","12:44:14","2h:09m","UD8S","-","FT8","20m","14.0740","Russia-EU","UA","LO71NS","4052"
"209","2021-11-16","12:06:52","2h:46m","UN7LDM","-","FT8","20m","14.0740","Kazakhstan","UN","MO13TF","3966"
"49","2021-11-16","13:56:05","57min","YC4AOK","-","FT8","20m","14.0740","Indonesia","YB","OI18SI","3941"
"187","2021-11-16","12:39:13","2h:14m","UN1EAU","-","FT8","20m","14.0740","Kazakhstan","UN","MO43QG","3889"
"15","2021-11-16","14:42:30","10min","YB4GKQ","-","FT8","20m","14.0740","Indonesia","YB","OI27","3820"
"140","2021-11-16","12:44:14","2h:09m","4L7CE","-","FT8","20m","14.0740","Georgia","4L","LN21FW","3817"
